,Symbol,Date,Sentiment_scores
125,AMZN,2023-07-05,0.22179485714285715
126,AMZN,2023-08-01,0.15882485714285716
127,AMZN,2023-08-02,0.13743555555555556
128,AMZN,2023-08-03,0.06576972727272727
129,AMZN,2023-09-01,0.18407775999999998
130,AMZN,2023-09-02,0.1839373333333333
131,AMZN,2023-09-03,0.20850449999999998
132,AMZN,2023-09-04,0.066459
133,AMZN,2023-09-05,0.12791506666666666
134,AMZN,2023-10-01,0.21075816666666666
135,AMZN,2023-10-02,0.19339584210526314
136,AMZN,2023-10-03,0.15334505555555555
137,AMZN,2023-10-04,0.1892772857142857
138,AMZN,2023-11-01,0.1710302142857143
139,AMZN,2023-11-02,0.19327626315789473
140,AMZN,2023-11-03,0.2518192941176471
141,AMZN,2023-12-01,0.218233
142,AMZN,2023-12-02,0.2017335
143,AMZN,2023-12-03,0.2243909
144,AMZN,2023-12-04,0.140289
145,AMZN,2024-01-01,0.30565833333333337
146,AMZN,2024-01-02,0.23289490909090912
147,AMZN,2024-01-03,0.19837429166666667
148,AMZN,2024-01-04,0.15567
149,AMZN,2024-02-01,0.14965433333333333
150,AMZN,2024-02-02,0.18688375
151,AMZN,2024-03-01,0.1881094761904762
152,AMZN,2024-03-02,0.30641714285714283
153,AMZN,2024-03-03,0.2933632857142857
154,AMZN,2024-03-04,0.2178783076923077
155,AMZN,2024-03-05,0.174385
156,AVGO,2022-03-03,0.028987500000000006
157,AVGO,2022-03-04,-0.06370139999999999
158,AVGO,2022-03-07,0.027579249999999993
159,AVGO,2022-03-08,0.04957366666666666
160,AVGO,2022-03-09,0.10094859999999999
161,AVGO,2022-03-10,0.08992016666666668
162,AVGO,2022-03-11,0.0704675
163,AVGO,2022-03-14,0.016131666666666666
164,AVGO,2022-03-15,-0.06680900000000001
165,AVGO,2022-03-16,0.08301485714285714
166,AVGO,2022-04-01,-0.03345744444444445
167,AVGO,2022-04-03,-0.035443999999999996
168,AVGO,2022-04-04,0.032662
169,AVGO,2022-04-05,0.023887000000000002
170,AVGO,2022-04-06,0.01859042857142857
171,AVGO,2022-04-07,-0.005702999999999997
172,AVGO,2022-04-08,0.041266000000000004
173,AVGO,2022-04-11,0.03023833333333333
174,AVGO,2022-05-02,0.005891666666666666
175,AVGO,2022-05-03,0.03991607142857143
